chimera_id,cosmos_id,dr7q_name,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight
151046.20+011819.0_709103_0.001,709103,151046.20+011819.0,540,51996,151,540-51996-151,0.37220001220703125,0.37420000000000003,0.001
153541.18-001621.6_552259_0.003,552259,153541.18-001621.6,315,51663,270,315-51663-270,0.6711000204086304,0.6708000000000001,0.003
082041.86+170031.9_559961_1,559961,082041.86+170031.9,2271,53726,201,2271-53726-201,0.4253999888896942,0.43140000000000006,1.0
160329.47+533942.9_692003_0.01,692003,160329.47+533942.9,621,52055,441,621-52055-441,0.8784000277519226,0.8755000000000001,0.01
142135.11+054850.6_697467_0.03,697467,142135.11+054850.6,1826,53499,102,1826-53499-102,1.0449999570846558,1.0521,0.03
155241.77+062200.9_701891_0.003,701891,155241.77+062200.9,1727,53859,137,1727-53859-137,0.729200005531311,0.7325,0.003
154253.09+085032.7_698976_0.0001,698976,154253.09+085032.7,1725,54266,98,1725-54266-98,0.3402000069618225,0.33640000000000003,0.0001
151923.68+232238.0_558576_0.001,558576,151923.68+232238.0,2158,54209,465,2158-54209-465,0.3066999912261963,0.31300000000000006,0.001
091955.34+552137.1_556116_0.3,556116,091955.34+552137.1,451,51908,133,451-51908-133,0.12189999967813492,0.12300000000000001,0.3
155048.84+410712.3_553548_0.03,553548,155048.84+410712.3,1053,52468,16,1053-52468-16,0.9754999876022339,0.9777000000000001,0.03
090008.03+512658.0_561513_0.0003,561513,090008.03+512658.0,551,51993,557,551-51993-557,0.41530001163482666,0.41140000000000004,0.0003
100536.15+691907.7_564122_0.03,564122,100536.15+691907.7,1879,54478,589,1879-54478-589,1.8327000141143799,1.8278000000000003,0.03
081817.28+574325.0_553548_0.001,553548,081817.28+574325.0,1873,54437,255,1873-54437-255,0.9754999876022339,0.9806000000000001,0.001
081854.44+412942.4_553754_0.01,553754,081854.44+412942.4,760,52264,436,760-52264-436,1.8518999814987183,1.8504000000000003,0.01
135128.15-001016.9_555590_0.001,555590,135128.15-001016.9,300,51666,119,300-51666-119,0.5174000263214111,0.5237,0.001
171049.66+223303.9_556304_0.001,556304,171049.66+223303.9,1689,53177,489,1689-53177-489,0.3840000033378601,0.39330000000000004,0.001
040018.71-060036.0_555483_0.0001,555483,040018.71-060036.0,464,51908,82,464-51908-82,0.9294000267982483,0.9394000000000001,0.0001
082747.19+574925.1_491792_0.0003,491792,082747.19+574925.1,1873,54437,67,1873-54437-67,1.2489999532699585,1.2580000000000002,0.0003
163636.38+113326.5_494299_0.03,494299,163636.38+113326.5,2533,54585,104,2533-54585-104,0.6151000261306763,0.6055,0.03
152506.60+103405.9_497825_0.0001,497825,152506.60+103405.9,1720,53854,34,1720-53854-34,0.7246000170707703,0.7226000000000001,0.0001
031859.68-080223.1_491628_0.1,491628,031859.68-080223.1,460,51924,243,460-51924-243,0.7350000143051147,0.7421000000000001,0.1
090628.04+434225.0_498540_0.01,498540,090628.04+434225.0,831,52294,525,831-52294-525,0.8884999752044678,0.8829000000000001,0.01
