fit_index,object_id,COSMOS_ID0,ID_COSMOS,redshift,chimera_QSO_weight,resample_weight,log_stellar_mass_truth,logLbol_QSO,logLbol_chimera,luminosity_bin,dr7q_name,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_spectrum_id,dr7q_redshift,u_sdss,u_sdss_err,r_sdss,r_sdss_err,i_sdss,i_sdss_err,z_sdss,z_sdss_err,J_2mass,J_2mass_err,H_2mass,H_2mass_err,Ks_2mass,Ks_2mass_err,spitzer.irac.I1,spitzer.irac.I1_err,spitzer.irac.I2,spitzer.irac.I2_err
0,013549.53+241149.7_243632_0.0001,243632,243632,0.5289999842643738,0.0001,18.0,8.33448,45.7599983215332,41.7599983215332,L < 42,013549.53+241149.7,2064,53341,462,2064-53341-462,0.52,4.624445136869326e-05,3.977783489972353e-05,0.00018560620083007962,2.623367436171975e-05,0.00024859741097316146,4.0799324779072776e-05,0.000363817234756425,6.602397479582578e-05,nan,nan,0.0002594195248093456,0.0007822610787115991,-1.667989999987185e-05,0.0007563253748230636,0.0007647491293027997,2.8877777367597446e-05,0.0005154071259312332,7.336631824728101e-05
1,014534.36+143136.9_532567_0.0001,532567,532567,0.6320000290870667,0.0001,9.0,8.23273,45.71099853515625,41.71099853515625,L < 42,014534.36+143136.9,429,51820,372,429-51820-372,0.6347,9.223097731592134e-05,3.252447277191095e-05,0.00019809434888884425,2.8840178856626153e-05,0.00033032760256901383,4.264695235178806e-05,0.00026776170125231147,7.061853830236942e-05,0.00024373835185542703,0.00011322325735818595,nan,nan,0.0006433085072785616,0.0007333397516049445,0.0006420386489480734,4.703209924628027e-05,0.000470994709758088,5.183942994335666e-05
2,014930.89+125129.4_664442_0.0001,664442,664442,0.8460999727249146,0.0001,35.0,8.49398,45.92300033569336,41.92300033569336,L < 42,014930.89+125129.4,429,51820,48,429-51820-48,0.8539000000000001,0.00022517326578963548,2.7775766284321435e-05,0.0002819847723003477,3.683764589368366e-05,0.0005361896473914385,4.36064692621585e-05,0.0006795632070861757,7.621847180416808e-05,0.0005869276938028634,0.00017523205315228552,nan,nan,-0.00010256469249725342,0.0008562271832488477,0.0005228181835263968,4.4412026909412816e-05,0.0006174281006678939,5.7438948715571314e-05
3,015034.96+150249.5_730865_0.0001,730865,730865,0.429500013589859,0.0001,16.0,10.7499,45.27199935913086,41.27199935913086,L < 42,015034.96+150249.5,429,51820,606,429-51820-606,0.43410000000000004,0.00020338018657639623,2.935668635473121e-05,0.006698553916066885,9.356773807667196e-05,0.013003477826714516,0.00010359639418311417,0.02403309941291809,7.922364602563903e-05,0.04248755797743797,0.00018113254918716848,0.06538616865873337,0.0007134457118809223,nan,nan,0.06437089294195175,0.00031658695661462843,0.054892588406801224,0.0002863145200535655
4,015222.08+133415.4_810798_0.0001,810798,810798,0.3700000047683716,0.0001,8.0,7.41708,45.400001525878906,41.400001525878906,L < 42,015222.08+133415.4,430,51877,183,430-51877-183,0.37710000000000005,0.00010519384522922337,3.230886431992985e-05,0.00026368824183009565,3.1005223718238994e-05,0.00033698813058435917,3.835119787254371e-05,0.0004428839311003685,7.16707218089141e-05,0.00034517122549004853,0.0001092151869670488,0.0007252867217175663,0.0006775681395083666,nan,nan,0.00017251053941436112,3.404241942916997e-05,0.00018977072613779455,3.490344533929601e-05
5,015259.08+145427.9_743071_0.0001,743071,743071,0.38609999418258667,0.0001,7.0,7.65804,45.38600158691406,41.38600158691406,L < 42,015259.08+145427.9,430,51877,379,430-51877-379,0.38070000000000004,0.00027891332865692675,4.214236105326563e-05,0.0005586607730947435,3.717322033480741e-05,0.00045822179527021945,4.040645217173733e-05,0.000662743579596281,7.210957119241357e-05,0.0006520244642160833,0.00016278775001410395,nan,nan,nan,nan,2.7985035558231175e-05,7.489472045563161e-05,0.0005852963076904416,6.586853851331398e-05
6,015738.10+130931.4_549472_0.0003,549472,549472,0.21969999372959137,0.0003,50.0,7.02803,45.242000579833984,41.71912183455365,L < 42,015738.10+130931.4,427,51900,276,427-51900-276,0.22080000000000002,0.00021046827896498144,2.40986864810111e-05,0.0004546953714452684,4.117178832530044e-05,0.00042078638216480613,5.3879295592196286e-05,0.00041091651655733585,8.844856347423047e-05,0.00043960066977888346,0.00011396498302929103,0.0012463678140193224,0.0006541446200571954,0.00637662410736084,0.0008448139997199178,0.000698824122082442,6.097195000620559e-05,0.0007538140052929521,5.0942642701556906e-05
7,015952.96+134554.3_375779_0.0001,375779,375779,0.5026999711990356,0.0001,8.0,8.21307,45.875,41.875,L < 42,015952.96+134554.3,430,51877,33,430-51877-33,0.5038,0.00019961914222221822,3.501664104987867e-05,0.0005204362096264958,3.410793578950688e-05,0.0006102451588958502,3.6959172575734556e-05,0.0008132701041176915,7.212178024929017e-05,0.0009126767399720848,0.00011349994747433811,0.000526833173353225,0.0006073391414247453,0.0010470226407051086,0.0007755599217489362,0.0005959280533716083,5.0703260058071464e-05,0.0007333900430239737,6.046398266335018e-05
8,021419.62-004215.8_367255_0.0001,367255,367255,0.9679999947547913,0.0001,6.0,7.56866,45.5099983215332,41.5099983215332,L < 42,021419.62-004215.8,1073,52649,131,1073-52649-131,0.9737000000000001,6.858644337626174e-05,3.806082531809807e-05,1.3003518688492477e-05,3.779335384024307e-05,0.00015818659448996186,3.557515810825862e-05,0.00021256651962175965,6.90180531819351e-05,nan,nan,5.250148387858644e-05,0.0007708721095696092,nan,nan,9.987454541260377e-05,2.495785338396672e-05,0.00018678046762943268,4.5056680392008275e-05
9,021546.52+010058.2_243632_0.0001,243632,243632,0.5289999842643738,0.0001,22.0,8.33448,45.150001525878906,41.150001525878906,L < 42,021546.52+010058.2,703,52209,414,703-52209-414,0.5333000000000001,3.0045592211536132e-05,3.977611049776897e-05,0.0001727521448628977,2.62325720541412e-05,0.00023585376038681716,4.079867358086631e-05,0.00035174479125998914,6.602286157431081e-05,1.4703355191159062e-05,0.0002566443872638047,nan,nan,nan,nan,0.0007014840957708657,2.8813818062189966e-05,0.00041847661486826837,7.33103443053551e-05
