id,ID_COSMOS,redshift,chimera_QSO_weight,resample_weight,log_stellar_mass_truth,MASS_MED_GAL,u_sdss,u_sdss_err,r_sdss,r_sdss_err,i_sdss,i_sdss_err,z_sdss,z_sdss_err,J_2mass,J_2mass_err,H_2mass,H_2mass_err,Ks_2mass,Ks_2mass_err,spitzer.irac.I1,spitzer.irac.I1_err,spitzer.irac.I2,spitzer.irac.I2_err,NUMBER,ALPHA_J2000,DELTA_J2000,zcosmos_row,sky_sep_arcsec,zcosmos_file,zcosmos_original_file,zcosmos_object_id,zcosmos_alpha,zcosmos_delta,zcosmos_snr,zcosmos_reference,zcosmos_redshift,delta_redshift_chimera_minus_zcosmos
142834.06+213014.2_398131_0.003,398131,0.2791999876499176,0.003,1.0,8.81236,8.81236,0.0016866198275238276,3.497612487990409e-05,0.003447210416197777,6.46812331979163e-05,0.004073427524417639,5.925323785049841e-05,0.005475511774420738,7.619220559718087e-05,0.005734877660870552,0.00018523080507293344,0.006229211576282978,0.0006653081509284675,0.007002019789069891,0.0008629470248706639,0.0064463065937161446,0.00010337702406104654,0.0075669544748961926,0.00015054801770020276,398131,150.1213387537601,1.8964355246493867,10877,0.003206810588104727,ADP.2015-10-15T12_54_26.213.fits,zCOSMOS_BRIGHT_DR3_000812019_ZCMRa43_M2_Q1_10_1.fits,812019,150.121338,1.896436,1.379436898902328,2009ApJS..184..218L,,
074618.94+194900.6_281189_0.001,281189,0.260699987411499,0.001,158.0,8.41671,8.41671,0.0014840142102912068,4.680100391851738e-05,0.003640827490016818,7.248933252412826e-05,0.003967194817960262,7.086265395628288e-05,0.004500580485910177,8.245332719525322e-05,0.004825545474886894,0.000146991471410729,,,0.0051665036007761955,0.00110184820368886,0.0035393473226577044,0.0001039304697769694,0.003624395001679659,0.0001251287030754611,281189,149.68456909452638,1.711887960608886,12587,0.004751345723217184,ADP.2015-10-15T12_55_43.457.fits,zCOSMOS_BRIGHT_DR3_000807573_ZCMRa21_M2_Q4_1_2.fits,807573,149.68457,1.711887,1.984433953272068,2009ApJS..184..218L,,
030210.95-075209.4_868701_0.0003,868701,0.7389000058174133,0.0003,34.0,9.75202,9.75202,0.0011351010762155056,3.082597686443478e-05,0.0024628948885947466,5.909146057092585e-05,0.004590149968862534,6.868056516395882e-05,0.006318715400993824,7.496896432712674e-05,,,0.008556051179766655,0.0007372761610895395,0.009196681901812553,0.0009346068254671991,0.011144645512104034,8.165195322362706e-05,0.007872654125094414,8.606627670815215e-05,868701,150.12886005117429,2.617640418193248,13233,0.005697477358601109,ADP.2015-10-15T12_56_16.283.fits,zCOSMOS_BRIGHT_DR3_000838799_ZCMRa68_M1_Q3_7_1.fits,838799,150.12886,2.617642,1.956628861954216,2009ApJS..184..218L,,
024156.37+004351.6_413098_0.003,413098,0.9872000217437744,0.003,96.0,11.2573,11.2573,8.954959776019678e-05,2.450733882142231e-05,0.0016860456671565771,5.263744242256507e-05,0.004454188980162144,6.829671474406496e-05,0.01367186289280653,7.935371831990778e-05,,,,,0.06104655936360359,0.0008021310204640031,0.0971473976969719,0.0004067993722856045,0.07231757789850235,0.00033955471008084714,413098,149.76745414439011,1.9180147458535122,12569,0.007196154503922991,ADP.2015-10-15T12_55_43.083.fits,zCOSMOS_BRIGHT_DR3_000813501_ZCMRa22_M2_Q2_10_1.fits,813501,149.767456,1.918014,2.136674305491918,2009ApJS..184..218L,,
032948.44+010333.6_346106_0.1,346106,0.7339000105857849,0.1,3.0,10.2624,10.2624,0.02643243968486786,0.0005960065172985196,0.03587315231561661,0.0005778492777608335,0.04330691695213318,0.0005768921109847724,0.04794131591916084,0.0009341118857264519,0.06127868592739105,0.006619994528591633,,,0.07076354324817657,0.011949875392019749,0.07114608585834503,0.0014157062396407127,0.10263913869857788,0.0027465831954032183,346106,149.72609064859438,1.8140247419354678,14204,0.007463266534656559,ADP.2015-10-15T12_57_12.020.fits,zCOSMOS_BRIGHT_DR3_000813695_ZCMRa12_M2_Q1_2_1.fits,813695,149.726089,1.814026,3.675663365356622,2009ApJS..184..218L,,
034621.27-000141.5_365667_0.3,365667,0.6906999945640564,0.3,1.0,10.6156,10.6156,0.007776695303618908,0.0010047875111922622,0.01848042942583561,0.004064976237714291,0.022940628230571747,0.001603255863301456,0.036612145602703094,0.006819707807153463,0.15186521410942078,0.013008270412683487,0.1744745969772339,0.02011050470173359,0.19803473353385925,0.02592705562710762,0.22199761867523193,0.004980897530913353,0.2038044035434723,0.0067648389376699924,365667,149.62832415284475,1.844496947056869,3011,0.007469773888415633,ADP.2015-10-15T12_47_46.830.fits,zCOSMOS_BRIGHT_DR3_000814130_ZCMRa13_M1_Q1_31_1.fits,814130,149.628326,1.844496,4.031606882339774,2009ApJS..184..218L,,
075209.09+414235.5_776772_0.0003,776772,0.2614000141620636,0.0003,16.0,9.73146,9.73146,0.01316011045128107,4.4288164644967765e-05,0.04364610090851784,0.00024302545352838933,0.054248396307229996,0.00021074534743092954,0.06779495626688004,8.822717791190371e-05,0.08213026076555252,0.00012306231656111777,,,,,0.08231575042009354,0.0002850704768206924,0.08549067378044128,0.00032264157198369503,776772,149.76504689505106,2.475852773424557,15243,0.008121175773008287,ADP.2015-10-15T12_58_02.490.fits,zCOSMOS_BRIGHT_DR3_000840778_ZCMRa28_M2_Q1_2_1.fits,840778,149.765045,2.475854,12.40785555988962,2009ApJS..184..218L,,
161107.48+504031.8_525079_0.1,525079,0.7354000210762024,0.1,1.0,10.7702,10.7702,0.0008350820280611515,0.00011706328223226592,0.007393501698970795,0.00015968186198733747,0.008775163441896439,0.00010682625725166872,0.01915786601603031,0.0004664628941100091,0.034240156412124634,0.005577488336712122,,,,,0.09054948389530182,0.0015027575427666306,0.13603921234607697,0.002830337965860963,525079,150.08479468649034,2.0978284190506993,3610,0.008318913098960719,ADP.2015-10-15T12_48_15.993.fits,zCOSMOS_BRIGHT_DR3_000818688_ZCMRa55_M2_Q4_17_1.fits,818688,150.084793,2.09783,3.75900296902206,2009ApJS..184..218L,,
075057.26+353037.6_527488_0.01,527488,0.18569999933242798,0.01,2.0,8.75034,8.75034,0.0017770961858332157,3.2299743907060474e-05,0.008683373220264912,0.0030802523251622915,0.009354576468467712,0.0010037804022431374,0.012562989257276058,0.014507911168038845,0.06393703073263168,0.0031033724080771208,0.06808910518884659,0.0033563084434717894,0.06342364102602005,0.0038280365988612175,0.1369263082742691,0.002906348556280136,0.11119642853736877,0.002261982299387455,527488,150.14025905089687,2.1029626011730205,354,0.00863771811276099,ADP.2015-10-15T12_45_03.497.fits,zCOSMOS_BRIGHT_DR3_000818383_ZCMRa54_M1_Q2_16_1.fits,818383,150.140259,2.102965,2.272483040062498,2009ApJS..184..218L,,
081252.45+402348.8_739778_0.0001,739778,0.18809999525547028,0.0001,72.0,9.40976,9.40976,0.0015149639220908284,3.932430990971625e-05,0.011280909180641174,0.00012304789561312646,0.016402680426836014,0.000119345924758818,0.02281484752893448,8.045613503782079e-05,0.03191728517413139,0.00019974618044216186,0.037949107587337494,0.0007056528702378273,0.04270278662443161,0.0010080694919452071,0.02526400238275528,0.0002140934520866722,0.0195769052952528,0.00022052487474866211,739778,149.60086320755076,2.4192787944506446,2697,0.009048788991683463,ADP.2015-10-15T12_47_28.990.fits,zCOSMOS_BRIGHT_DR3_000834388_ZCMRa27_M1_Q3_29_2.fits,834388,149.600861,2.41928,6.843147533415523,2009ApJS..184..218L,,
080504.05+120540.3_493880_0.001,493880,0.3246000111103058,0.001,2232.0,9.02464,9.02464,0.001155107282102108,3.393914084881544e-05,0.004095387179404497,7.597493095090613e-05,0.004800846334546804,6.958605081308633e-05,0.006877657026052475,7.316089613595977e-05,0.007822994142770767,0.00018083689792547375,0.00745330099016428,0.000733652850612998,,,0.006043012719601393,9.994384890887886e-05,0.005073023959994316,0.00011227284994674847,493880,150.64631868689924,2.0506560823029516,225,0.009645024812779126,ADP.2015-10-15T12_44_53.117.fits,zCOSMOS_BRIGHT_DR3_000815806_ZCMRa95_M1_Q1_28_1.fits,815806,150.646317,2.050654,1.845964620216912,2009ApJS..184..218L,,
034528.91-004429.4_282426_1,282426,0.7123000025749207,1.0,152.0,10.2553,10.2553,0.028562230989336967,0.002646808745339513,0.04429124668240547,0.0011915800860151649,0.04561839997768402,0.001015056623145938,0.06898441165685654,0.0034465494100004435,,,0.3050355315208435,0.07150602340698242,0.3548983931541443,0.08353463560342789,0.30051901936531067,0.01030021533370018,0.32826101779937744,0.018010307103395462,282426,150.48251381347032,1.712488353713579,168,0.009966198539503156,ADP.2015-10-15T12_44_50.997.fits,zCOSMOS_BRIGHT_DR3_000804034_ZCMRa91_M1_Q4_1_1.fits,804034,150.482513,1.712491,3.292573924643355,2009ApJS..184..218L,,
