status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,reason,traceback
failed,1,090325.66+300525.0_654145_1,654145,1590-52974-51,FileNotFoundError: missing galaxy spectrum for COSMOS ID 654145,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 654145
"
failed,3,151338.71+413904.9_929394_0.3,929394,1291-52735-29,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1291, 52735, 29)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1291, 52735, 29)
"
failed,6,021440.82+125802.8_368548_0.0003,368548,428-51883-30,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (428, 51883, 30)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (428, 51883, 30)
"
failed,7,073958.12+324223.0_369279_0.001,369279,541-51959-516,FileNotFoundError: missing galaxy spectrum for COSMOS ID 369279,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 369279
"
failed,9,074718.26+321933.1_363912_1,363912,755-52235-522,FileNotFoundError: missing galaxy spectrum for COSMOS ID 363912,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 363912
"
failed,10,144130.51+114437.6_456199_0.001,456199,1712-53531-259,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1712, 53531, 259)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1712, 53531, 259)
"
failed,11,085817.31+323202.2_369279_1,369279,1272-52989-296,FileNotFoundError: missing galaxy spectrum for COSMOS ID 369279,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 369279
"
failed,12,083905.57+301656.5_420245_0.1,420245,1269-52937-397,FileNotFoundError: missing galaxy spectrum for COSMOS ID 420245,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 420245
"
failed,14,084115.91+274339.0_422475_0.0003,422475,1588-52965-319,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1588, 52965, 319)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1588, 52965, 319)
"
failed,17,140030.13+002208.5_638362_0.3,638362,301-51942-545,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (301, 51942, 545)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (301, 51942, 545)
"
failed,18,164527.79+194534.3_634789_0.03,634789,1569-53168-217,FileNotFoundError: missing galaxy spectrum for COSMOS ID 634789,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 634789
"
failed,19,021833.19+002525.8_636233_0.1,636233,703-52209-549,FileNotFoundError: missing galaxy spectrum for COSMOS ID 636233,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 636233
"
failed,20,142408.88+204246.2_636396_0.01,636396,2773-54533-570,FileNotFoundError: missing galaxy spectrum for COSMOS ID 636396,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 636396
"
failed,21,163642.91+332729.0_640223_1,640223,1339-52767-252,FileNotFoundError: missing galaxy spectrum for COSMOS ID 640223,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 640223
"
failed,22,143730.21+082700.6_604414_0.0001,604414,1813-53903-357,FileNotFoundError: missing galaxy spectrum for COSMOS ID 604414,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 604414
"
failed,25,153004.79+101207.5_617822_1,617822,1722-53852-158,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1722, 53852, 158)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (1722, 53852, 158)
"
failed,26,160030.58+231806.8_617512_0.03,617512,1851-53524-257,FileNotFoundError: missing galaxy spectrum for COSMOS ID 617512,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 617512
"
failed,27,080649.15+344745.4_609771_0.003,609771,892-52378-286,FileNotFoundError: missing galaxy spectrum for COSMOS ID 609771,"Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1075, in process_row
    raise FileNotFoundError(f""missing galaxy spectrum for COSMOS ID {cosmos_id}"")
FileNotFoundError: missing galaxy spectrum for COSMOS ID 609771
"
failed,28,080833.36+424836.3_601266_1,601266,437-51869-638,"FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (437, 51869, 638)","Traceback (most recent call last):
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1417, in main
    payload = process_row(
        row,
    ...<10 lines>...
        source_candidate_rows,
    )
  File ""/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/scripts/build_all_chimera_composite_spectra.py"", line 1083, in process_row
    raise FileNotFoundError(f""missing DR7Q spectrum for plate/mjd/fiber {dr7q_key}"")
FileNotFoundError: missing DR7Q spectrum for plate/mjd/fiber (437, 51869, 638)
"
