row_index,chimera_id,cosmos_id,candidate_input_rank,galaxy_spectrum_path,galaxy_spectrum_path_relative,candidate_source_origin,target_redshift_for_scoring,candidate_status,galaxy_spectrum_snr_source,galaxy_spectrum_snr_median,galaxy_spectrum_snr_p16,galaxy_spectrum_snr_p84,galaxy_spectrum_snr_n_pixels,galaxy_spectrum_wave_min,galaxy_spectrum_wave_max,galaxy_spectrum_error_column,selected_for_composite
0,092313.69+372656.7_401570_0.003,401570,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_12.173.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_12.173.fits,source_match_audit,0.361299991607666,ok,flux_mad_fallback,8.241425491191325,8.241425491191325,8.241425491191325,1642,5505.10595703125,9694.5791015625,ERR,True
2,164957.16+285854.4_923464_1,923464,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_55_22.460.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_55_22.460.fits,source_match_audit,0.6859999895095825,ok,flux_mad_fallback,3.3704975929502097,3.3704975929502097,3.3704975929502097,1642,5505.10595703125,9694.5791015625,ERR,True
4,085353.71+142920.2_644415_0.0003,644415,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_21.050.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_21.050.fits,source_match_audit,0.478300005197525,ok,flux_mad_fallback,7.431220422568219,7.431220422568219,7.431220422568219,1642,5505.10595703125,9694.5791015625,ERR,True
5,075217.31+271726.4_648095_0.01,648095,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_10.050.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_10.050.fits,source_match_audit,0.6676999926567078,ok,flux_mad_fallback,2.7153375537839914,2.7153375537839914,2.7153375537839914,1642,5505.10595703125,9694.5791015625,ERR,True
8,151044.77+194048.7_359582_0.0003,359582,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_43.317.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_43.317.fits,source_match_audit,0.6651999950408936,ok,flux_mad_fallback,4.682322322838387,4.682322322838387,4.682322322838387,1642,5505.10595703125,9694.5791015625,ERR,True
13,143730.46+075127.9_416386_1,416386,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_56.177.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_56.177.fits,source_match_audit,0.2653000056743622,ok,flux_mad_fallback,3.528620066692771,3.528620066692771,3.528620066692771,1642,5505.10595703125,9694.5791015625,ERR,True
15,083406.99+303749.4_435667_0.03,435667,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_49.697.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_57_49.697.fits,source_match_audit,0.7272999882698059,ok,flux_mad_fallback,1.355579507295466,1.355579507295466,1.355579507295466,1642,5505.10595703125,9694.5791015625,ERR,True
16,023240.83-092113.5_652370_1,652370,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_01_34.810.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_01_34.810.fits,source_match_audit,0.7279000282287598,ok,flux_mad_fallback,1.8914357458972362,1.8914357458972362,1.8914357458972362,1642,5505.10595703125,9694.5791015625,ERR,True
23,075515.06+185856.8_601996_0.03,601996,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_27.200.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_27.200.fits,source_match_audit,0.4627000093460083,ok,flux_mad_fallback,7.30557812029795,7.30557812029795,7.30557812029795,1642,5505.10595703125,9694.5791015625,ERR,True
24,143747.87+283019.4_617393_0.03,617393,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_49_19.227.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_49_19.227.fits,source_match_audit,0.24799999594688416,ok,flux_mad_fallback,14.759782818705775,14.759782818705775,14.759782818705775,1642,5505.10595703125,9694.5791015625,ERR,True
30,080337.41+364404.5_651345_0.03,651345,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_09.467.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_09.467.fits,source_match_audit,0.36809998750686646,ok,flux_mad_fallback,3.730458487987857,3.730458487987857,3.730458487987857,1642,5505.10595703125,9694.5791015625,ERR,True
31,152337.07+154801.5_669714_0.3,669714,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_17.847.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_17.847.fits,source_match_audit,0.7519000172615051,ok,flux_mad_fallback,3.230113103776926,3.230113103776926,3.230113103776926,1642,5505.10595703125,9694.5791015625,ERR,True
32,135915.86+120109.1_923098_0.003,923098,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_47.940.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_47.940.fits,source_match_audit,0.35499998927116394,ok,flux_mad_fallback,3.3373595884659357,3.3373595884659357,3.3373595884659357,1642,5505.10595703125,9694.5791015625,ERR,True
