cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column,best_match
221239,9,150732.11+345623.4_221239_0.001,149.90524323695792,1.6155679052414469,0.35440000891685486,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.905243,1.615579,0.039950232066249605,0.3538999855518341,-0.000500023365020752,True,801875,3.5,RAJ2000,DEJ2000,z,True
223338,1,082231.53+231152.0_223338_1,149.57694904580282,1.617859641999927,0.65829998254776,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.57695,1.617875,0.05539532478729702,0.6577000021934509,-0.000599980354309082,True,802600,3.5,RAJ2000,DEJ2000,z,True
224125,1,155235.41+323357.9_224125_1,149.93295632212119,1.6180032721777478,0.3725000023841858,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.932953,1.618014,0.040428153952085356,0.3720000088214874,-0.0004999935626983643,True,801817,3.5,RAJ2000,DEJ2000,z,True
226550,1,074914.60+175631.9_226550_0.3,150.14479076590848,1.623507369006218,0.4259999990463257,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.144775,1.623509,0.0570375087535835,0.4255000054836273,-0.0004999935626983643,True,801351,3.5,RAJ2000,DEJ2000,z,True
230041,34,081051.58+205758.1_230041_0.03,149.62484215067008,1.6263316193216095,0.5745000243186951,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.624832,1.626332,0.036553391186395334,0.5740000009536743,-0.000500023365020752,True,807833,4.5,RAJ2000,DEJ2000,z,True
232588,2,142159.87+043640.8_232588_1,150.40326745810194,1.632938033548838,0.4302000105381012,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.40331,1.6329238,0.1614365151709365,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
233582,2,023030.37-004513.8_233582_0.3,149.7956002429849,1.6328885575144207,0.5077999830245972,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.795593,1.632863,0.09562760013145812,0.5073000192642212,-0.0004999637603759766,True,807073,3.5,RAJ2000,DEJ2000,z,True
238404,1,082231.16+502456.2_238404_0.03,150.1845759136062,1.6425865813008005,0.9046000242233276,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.18459,1.6426795,0.33832623221339747,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
239402,1,075114.93+353950.0_239402_0.3,149.82827988613263,1.6445296645364842,0.7371000051498413,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.82829,1.6445187,0.05369036757789171,0.7371,-5.149841331153482e-09,True,806905,4.5,RAJ2000,DEJ2000,zsp,True
239574,1,075216.55+500251.3_239574_0.01,150.2885015932729,1.6446146148881164,0.2662000060081482,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.288498,1.644593,0.0788806221479889,0.26579999923706055,-0.0004000067710876465,True,804783,3.5,RAJ2000,DEJ2000,z,True
