cosmos_id,representative_chimera_id,n_chimeras_in_provenance,host_ra_deg,host_dec_deg,host_redshift,service,failure_reason
401570,092313.69+372656.7_401570_0.003,3,150.0625274605643,1.9018059568582752,0.361299991607666,sdss,no_sdss_match
401570,092313.69+372656.7_401570_0.003,3,150.0625274605643,1.9018059568582752,0.361299991607666,desi,no_desi_match
654145,090325.66+300525.0_654145_1,1,150.35268980068773,2.291502941812638,0.5378000140190125,sdss,no_sdss_match
654145,090325.66+300525.0_654145_1,1,150.35268980068773,2.291502941812638,0.5378000140190125,desi,no_desi_match
923464,164957.16+285854.4_923464_1,3,150.01501868020165,2.701338277058711,0.6859999895095825,sdss,no_sdss_match
923464,164957.16+285854.4_923464_1,3,150.01501868020165,2.701338277058711,0.6859999895095825,desi,no_desi_match
929394,151338.71+413904.9_929394_0.3,3,150.1406330654331,2.710893860818697,0.7767999768257141,sdss,no_sdss_match
644415,085353.71+142920.2_644415_0.0003,3,149.78779119545896,2.2764507047781994,0.478300005197525,sdss,no_sdss_match
648095,075217.31+271726.4_648095_0.01,12,150.1353652832364,2.2829975352269614,0.6676999926567078,sdss,no_sdss_match
648095,075217.31+271726.4_648095_0.01,12,150.1353652832364,2.2829975352269614,0.6676999926567078,desi,no_desi_match
368548,021440.82+125802.8_368548_0.0003,2,150.13580801496926,1.850103455528394,0.5554999709129333,sdss,sdss_query_failed: Number of header columns (1) inconsistent with data columns in data line 13
368548,021440.82+125802.8_368548_0.0003,2,150.13580801496926,1.850103455528394,0.5554999709129333,desi,no_desi_match
369279,073958.12+324223.0_369279_0.001,44,150.0755506146407,1.8531062067171646,0.5600000023841858,sdss,sdss_query_failed: Number of header columns (1) inconsistent with data columns in data line 13
369279,073958.12+324223.0_369279_0.001,44,150.0755506146407,1.8531062067171646,0.5600000023841858,desi,no_desi_match
359582,151044.77+194048.7_359582_0.0003,2,149.7417948824193,1.8356041256465803,0.6651999950408936,sdss,sdss_query_failed: Number of header columns (1) inconsistent with data columns in data line 13
359582,151044.77+194048.7_359582_0.0003,2,149.7417948824193,1.8356041256465803,0.6651999950408936,desi,no_desi_match
363912,074718.26+321933.1_363912_1,2,150.37608732473385,1.842585416311115,0.34689998626708984,sdss,sdss_missing_match_coordinates
363912,074718.26+321933.1_363912_1,2,150.37608732473385,1.842585416311115,0.34689998626708984,desi,no_desi_match
456199,144130.51+114437.6_456199_0.001,2,149.89338092430862,1.9882419853831572,0.5300999879837036,sdss,sdss_query_failed: 503 Server Error: Service Unavailable for url: https://skyserver.sdss.org/dr17/en/tools/search/X_Results.aspx
420245,083905.57+301656.5_420245_0.1,19,150.61318665821082,1.932967843211606,1.2699999809265137,sdss,sdss_query_failed: 503 Server Error: Service Unavailable for url: https://skyserver.sdss.org/dr17/en/tools/search/X_Results.aspx
420245,083905.57+301656.5_420245_0.1,19,150.61318665821082,1.932967843211606,1.2699999809265137,desi,no_desi_match
416386,143730.46+075127.9_416386_1,13,150.01650608679552,1.9261628279786458,0.2653000056743622,sdss,sdss_query_failed: 503 Server Error: Service Unavailable for url: https://skyserver.sdss.org/dr17/en/tools/search/X_Results.aspx
416386,143730.46+075127.9_416386_1,13,150.01650608679552,1.9261628279786458,0.2653000056743622,desi,no_desi_match
422475,084115.91+274339.0_422475_0.0003,6,149.87388887627935,1.9355206850142457,0.5776000022888184,sdss,sdss_query_failed: 503 Server Error: Service Unavailable for url: https://skyserver.sdss.org/dr17/en/tools/search/X_Results.aspx
422475,084115.91+274339.0_422475_0.0003,6,149.87388887627935,1.9355206850142457,0.5776000022888184,desi,no_desi_match
435667,083406.99+303749.4_435667_0.03,2,149.72938742283935,1.9568468054124397,0.7272999882698059,sdss,no_sdss_match
435667,083406.99+303749.4_435667_0.03,2,149.72938742283935,1.9568468054124397,0.7272999882698059,desi,no_desi_match
652370,023240.83-092113.5_652370_1,9,150.16537948452046,2.2894080794980662,0.7279000282287598,sdss,no_sdss_match
652370,023240.83-092113.5_652370_1,9,150.16537948452046,2.2894080794980662,0.7279000282287598,desi,no_desi_match
638362,140030.13+002208.5_638362_0.3,1,149.86602972432874,2.267845273452656,0.25099998712539673,sdss,no_sdss_match
638362,140030.13+002208.5_638362_0.3,1,149.86602972432874,2.267845273452656,0.25099998712539673,desi,no_desi_match
634789,164527.79+194534.3_634789_0.03,2,149.78969868140126,2.2635990850347305,1.2237999439239502,sdss,no_sdss_match
636233,021833.19+002525.8_636233_0.1,4,150.38168246144232,2.2658687463834477,0.8479999899864197,sdss,no_sdss_match
636233,021833.19+002525.8_636233_0.1,4,150.38168246144232,2.2658687463834477,0.8479999899864197,desi,no_desi_match
636396,142408.88+204246.2_636396_0.01,11,149.78362137170944,2.266220369402287,1.2229000329971313,sdss,no_sdss_match
636396,142408.88+204246.2_636396_0.01,11,149.78362137170944,2.266220369402287,1.2229000329971313,desi,no_desi_match
640223,163642.91+332729.0_640223_1,1,149.75671365111765,2.271359043497398,0.9039999842643738,sdss,no_sdss_match
604414,143730.21+082700.6_604414_0.0001,1,149.78022321410805,2.217754153417058,1.1593999862670898,sdss,no_sdss_match
601996,075515.06+185856.8_601996_0.03,5,150.70291407516427,2.21344501706475,0.4627000093460083,sdss,no_sdss_match
617393,143747.87+283019.4_617393_0.03,2,150.3101119750638,2.233976671557454,0.24799999594688416,sdss,no_sdss_match
617393,143747.87+283019.4_617393_0.03,2,150.3101119750638,2.233976671557454,0.24799999594688416,desi,no_desi_match
617822,153004.79+101207.5_617822_1,1,150.45743368826035,2.235078456568293,0.22120000422000885,sdss,no_sdss_match
617512,160030.58+231806.8_617512_0.03,24,149.84748400149599,2.2387006720728944,3.6440000534057617,sdss,no_sdss_match
617512,160030.58+231806.8_617512_0.03,24,149.84748400149599,2.2387006720728944,3.6440000534057617,desi,no_desi_match
609771,080649.15+344745.4_609771_0.003,2,149.81252882821133,2.226041048063451,1.5516999959945679,sdss,no_sdss_match
609771,080649.15+344745.4_609771_0.003,2,149.81252882821133,2.226041048063451,1.5516999959945679,desi,no_desi_match
601266,080833.36+424836.3_601266_1,1,149.46541666922244,2.211548034609736,0.5357000231742859,sdss,no_sdss_match
601266,080833.36+424836.3_601266_1,1,149.46541666922244,2.211548034609736,0.5357000231742859,desi,no_desi_match
600741,144321.12+190352.1_600741_0.001,1,150.50021610839624,2.2124596971099204,0.3010999858379364,sdss,no_sdss_match
600741,144321.12+190352.1_600741_0.001,1,150.50021610839624,2.2124596971099204,0.3010999858379364,desi,no_desi_match
651345,080337.41+364404.5_651345_0.03,6,150.55510080943762,2.287632140334551,0.36809998750686646,sdss,no_sdss_match
651345,080337.41+364404.5_651345_0.03,6,150.55510080943762,2.287632140334551,0.36809998750686646,desi,no_desi_match
669714,152337.07+154801.5_669714_0.3,2,150.1896759143066,2.316031711369254,0.7519000172615051,sdss,no_sdss_match
669714,152337.07+154801.5_669714_0.3,2,150.1896759143066,2.316031711369254,0.7519000172615051,desi,no_desi_match
923098,135915.86+120109.1_923098_0.003,5,150.13454302518926,2.6999130231252897,0.35499998927116394,sdss,no_sdss_match
923098,135915.86+120109.1_923098_0.003,5,150.13454302518926,2.6999130231252897,0.35499998927116394,desi,no_desi_match
915587,080320.08+252602.4_915587_0.003,3,149.50627951157267,2.68759314853932,0.47099998593330383,sdss,no_sdss_match
916795,144049.11+222825.3_916795_0.3,18,149.87594286054602,2.693060277983112,1.3990000486373901,sdss,no_sdss_match
916795,144049.11+222825.3_916795_0.3,18,149.87594286054602,2.693060277983112,1.3990000486373901,desi,no_desi_match
927917,141240.41+164831.7_927917_0.001,5,149.990973050978,2.7085261518525603,1.0920000076293945,sdss,no_sdss_match
927917,141240.41+164831.7_927917_0.001,5,149.990973050978,2.7085261518525603,1.0920000076293945,desi,no_desi_match
943655,161736.10+131413.7_943655_0.3,11,150.05035073368282,2.7341503137013357,0.8059999942779541,sdss,no_sdss_match
943655,161736.10+131413.7_943655_0.3,11,150.05035073368282,2.7341503137013357,0.8059999942779541,desi,no_desi_match
587285,084404.20+413803.8_587285_0.0001,3,149.8393627464939,2.1934192023189865,1.7402000427246094,sdss,no_sdss_match
587285,084404.20+413803.8_587285_0.0001,3,149.8393627464939,2.1934192023189865,1.7402000427246094,desi,no_desi_match
433407,161815.53+370103.8_433407_0.001,5,149.64876683424174,1.9548413738815056,2.505500078201294,sdss,no_sdss_match
433407,161815.53+370103.8_433407_0.001,5,149.64876683424174,1.9548413738815056,2.505500078201294,desi,"desi_query_failed: HTTPSConnectionPool(host='astrosparcl.datalab.noirlab.edu', port=443): Max retries exceeded with url: /api/find/?limit=50 (Caused by ConnectTimeoutError(<HTTPSConnection(host='astrosparcl.datalab.noirlab.edu', port=443) at 0x72cb1d193790>, 'Connection to astrosparcl.datalab.noirlab.edu timed out. (connect timeout=1.1)'))"
432099,080409.24+385348.8_432099_0.0003,1,150.55995647425726,1.9491856007384945,0.218299999833107,sdss,no_sdss_match
436135,164806.79+272658.8_436135_0.01,6,149.59586284362507,1.9562206511302702,0.5309000015258789,sdss,no_sdss_match
553219,161608.39+514721.0_553219_0.0003,1,150.52320900171847,2.1416529328739426,0.5717999935150146,sdss,no_sdss_match
553219,161608.39+514721.0_553219_0.0003,1,150.52320900171847,2.1416529328739426,0.5717999935150146,desi,no_desi_match
547577,080731.96+262600.9_547577_0.1,6,150.01547727015912,2.133973054945459,0.9549999833106995,sdss,no_sdss_match
547577,080731.96+262600.9_547577_0.1,6,150.01547727015912,2.133973054945459,0.9549999833106995,desi,no_desi_match
554694,080719.65+203248.1_554694_0.001,1,149.7179812868329,2.1434932635949497,0.6977999806404114,sdss,no_sdss_match
554694,080719.65+203248.1_554694_0.001,1,149.7179812868329,2.1434932635949497,0.6977999806404114,desi,no_desi_match
463262,154042.89+323307.2_463262_0.0003,2,150.75065616862616,2.0014599522706056,0.9259999990463257,sdss,no_sdss_match
465221,083434.48+073900.2_465221_0.1,8,149.8123648011061,2.005023958305963,1.0255000591278076,sdss,no_sdss_match
465221,083434.48+073900.2_465221_0.1,8,149.8123648011061,2.005023958305963,1.0255000591278076,desi,no_desi_match
556070,084136.18+541047.1_556070_0.01,2,150.06761362468706,2.1468798578202937,3.0118000507354736,sdss,no_sdss_match
556070,084136.18+541047.1_556070_0.01,2,150.06761362468706,2.1468798578202937,3.0118000507354736,desi,no_desi_match
585406,075853.87+484043.0_585406_0.1,1,150.6977173954686,2.1903091606157252,0.7487999796867371,sdss,no_sdss_match
585406,075853.87+484043.0_585406_0.1,1,150.6977173954686,2.1903091606157252,0.7487999796867371,desi,no_desi_match
592463,091504.68+513041.5_592463_0.03,45,149.93796718487596,2.201944887748546,1.0199999809265137,sdss,no_sdss_match
592463,091504.68+513041.5_592463_0.03,45,149.93796718487596,2.201944887748546,1.0199999809265137,desi,no_desi_match
581920,081629.74+534111.6_581920_0.003,1,150.23722019549945,2.1839776213951083,0.6963000297546387,sdss,no_sdss_match
581920,081629.74+534111.6_581920_0.003,1,150.23722019549945,2.1839776213951083,0.6963000297546387,desi,no_desi_match
579212,080657.69+095839.6_579212_0.003,11,150.08768237852073,2.181818927961303,2.7288999557495117,sdss,no_sdss_match
579212,080657.69+095839.6_579212_0.003,11,150.08768237852073,2.181818927961303,2.7288999557495117,desi,no_desi_match
579089,084537.01+102648.1_579089_0.01,1,149.91728307970152,2.180151491254679,0.3578000068664551,sdss,no_sdss_match
579089,084537.01+102648.1_579089_0.01,1,149.91728307970152,2.180151491254679,0.3578000068664551,desi,no_desi_match
580433,135641.46+040436.4_580433_0.003,4,150.07236741494893,2.182998519419234,0.9869999885559082,sdss,no_sdss_match
580433,135641.46+040436.4_580433_0.003,4,150.07236741494893,2.182998519419234,0.9869999885559082,desi,no_desi_match
588738,155650.41+394542.8_588738_0.1,1,150.03380188988305,2.1950547975474928,0.9409999847412109,sdss,no_sdss_match
588738,155650.41+394542.8_588738_0.1,1,150.03380188988305,2.1950547975474928,0.9409999847412109,desi,no_desi_match
470110,082905.01+571541.6_470110_0.0001,3,149.61405048806543,2.01123232758984,0.3407999873161316,sdss,no_sdss_match
470110,082905.01+571541.6_470110_0.0001,3,149.61405048806543,2.01123232758984,0.3407999873161316,desi,no_desi_match
472071,171528.14+542509.0_472071_0.01,4,149.58438919390142,2.0159106052088682,0.2551000118255615,sdss,no_sdss_match
