status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
missing_dr7q,3,151338.71+413904.9_929394_0.3,929394,1291-52735-29,1291,52735,29,1291-52735-29,1291-52735-29,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,228.41131999999996,41.651379999999996,151338.71+413904.9,SDSS J151338.70+413904.9,228.411316,41.651383,1291,52735,52313,29,0.7767999768257141,0.7767999768257141,0.7765000000000001,0.3,150.1406330654331,2.710893860818697,coordinate_fallback,0,0,1,1,0.02976665419478223,845769,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_48.103.fits,
missing_dr7q,6,021440.82+125802.8_368548_0.0003,368548,428-51883-30,428,51883,30,428-51883-30,428-51883-30,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,33.670109999999994,12.967469999999999,021440.82+125802.8,SDSS J021440.82+125802.8,33.670109,12.96747,428,51883,51464,30,0.5554999709129333,0.5554999709129333,0.5653,0.0003,150.13580801496926,1.850103455528394,coordinate_fallback,0,0,1,1,0.021916987784511097,811936,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_47.313.fits,
missing_both,7,073958.12+324223.0_369279_0.001,369279,541-51959-516,541,51959,516,541-51959-516,541-51959-516,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,114.99219999999998,32.706399999999995,073958.12+324223.0,SDSS J073958.12+324223.0,114.992196,32.706402,541,51959,51874,516,0.5600000023841858,0.5600000023841858,0.5635000000000001,0.001,150.0755506146407,1.8531062067171646,none,0,0,0,0,21.06493526870823,,,
missing_both,9,074718.26+321933.1_363912_1,363912,755-52235-522,755,52235,522,755-52235-522,755-52235-522,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,116.82609999999998,32.325889999999994,074718.26+321933.1,SDSS J074718.26+321933.1,116.826107,32.325888,755,52235,51961,522,0.34689998626708984,0.34689998626708984,0.3527,1.0,150.37608732473385,1.842585416311115,none,0,0,0,0,5.669416130894131,,,
missing_dr7q,10,144130.51+114437.6_456199_0.001,456199,1712-53531-259,1712,53531,259,1712-53531-259,1712-53531-259,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,220.37711999999996,11.743789999999999,144130.51+114437.6,SDSS J144130.51+114437.6,220.377127,11.743786,1712,53531,52812,259,0.5300999879837036,0.5300999879837036,0.5206000000000001,0.001,149.89338092430862,1.9882419853831572,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_50_15.397.fits,
missing_both,11,085817.31+323202.2_369279_1,369279,1272-52989-296,1272,52989,296,1272-52989-296,1272-52989-296,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,134.57213,32.53397,085817.31+323202.2,SDSS J085817.31+323202.3,134.572131,32.533972,1272,52989,52639,296,0.5600000023841858,0.5600000023841858,0.5597000000000001,1.0,150.0755506146407,1.8531062067171646,none,0,0,0,0,21.06493526870823,,,
missing_dr7q,14,084115.91+274339.0_422475_0.0003,422475,1588-52965-319,1588,52965,319,1588-52965-319,1588-52965-319,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,130.31629999999998,27.727509999999995,084115.91+274339.0,SDSS J084115.91+274339.0,130.316302,27.727506,1588,52965,52671,319,0.5776000022888184,0.5776000022888184,0.5817000000000001,0.0003,149.87388887627935,1.9355206850142457,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_39.547.fits,
missing_dr7q,17,140030.13+002208.5_638362_0.3,638362,301-51942-545,301,51942,545,301-51942-545,301-51942-545,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,210.12557999999999,0.36904,140030.13+002208.5,SDSS J140030.13+002208.5,210.125582,0.369037,301,51942,51259,545,0.25099998712539673,0.25099998712539673,0.2584,0.3,149.86602972432874,2.267845273452656,coordinate_fallback,0,0,1,1,0.06786910161292309,826061,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_31.657.fits,
missing_both,21,163642.91+332729.0_640223_1,640223,1339-52767-252,1339,52767,252,1339-52767-252,1339-52767-252,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,249.17881999999997,33.458059999999996,163642.91+332729.0,SDSS J163642.91+332728.9,249.17882,33.45806,1339,52767,52705,252,0.9039999842643738,0.9039999842643738,0.9125000000000001,1.0,149.75671365111765,2.271359043497398,none,0,0,0,0,5.863343214384487,,,
missing_dr7q,25,153004.79+101207.5_617822_1,617822,1722-53852-158,1722,53852,158,1722-53852-158,1722-53852-158,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,232.51998999999998,10.202089999999998,153004.79+101207.5,,232.519993,10.202093,1722,53852,52812,158,0.22120000422000885,0.22120000422000885,0.22200000000000003,1.0,150.45743368826035,2.235078456568293,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_29.100.fits,
missing_both,27,080649.15+344745.4_609771_0.003,609771,892-52378-286,892,52378,286,892-52378-286,892-52378-286,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,121.70479999999998,34.795959999999994,080649.15+344745.4,SDSS J080649.15+344745.4,121.704795,34.79596,892,52378,52262,286,1.5516999959945679,1.5516999959945679,1.5510000000000002,0.003,149.81252882821133,2.226041048063451,none,0,0,0,0,13.581999595375319,,,
missing_dr7q,28,080833.36+424836.3_601266_1,601266,437-51869-638,437,51869,638,437-51869-638,437-51869-638,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,122.13903999999998,42.810089999999995,080833.36+424836.3,SDSS J080833.36+424836.2,122.139037,42.810087,437,51869,51639,638,0.5357000231742859,0.5357000231742859,0.5429,1.0,149.46541666922244,2.211548034609736,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_07.920.fits,
missing_dr7q,29,144321.12+190352.1_600741_0.001,600741,2776-54554-495,2776,54554,495,2776-54554-495,2776-54554-495,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,220.83799999999997,19.064469999999996,144321.12+190352.1,,220.838005,19.064474,2776,54554,53441,495,0.3010999858379364,0.3010999858379364,0.29900000000000004,0.001,150.50021610839624,2.2124596971099204,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_24.250.fits,
missing_both,34,144049.11+222825.3_916795_0.3,916795,2140-53858-223,2140,53858,223,2140-53858-223,2140-53858-223,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,220.20463999999998,22.473719999999997,144049.11+222825.3,,220.204637,22.473719,2140,53858,53168,223,1.3990000486373901,1.3990000486373901,1.4050000000000002,0.3,149.87594286054602,2.693060277983112,none,0,0,0,0,10.138386877575883,,,
missing_dr7q,35,074128.90+470321.6_923098_0.3,923098,1867-53317-58,1867,53317,58,1867-53317-58,1867-53317-58,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,115.37043999999999,47.05600999999999,074128.90+470321.6,SDSS J074128.91+470321.6,115.370439,47.056007,1867,53317,52973,58,0.35499998927116394,0.35499998927116394,0.35200000000000004,0.3,150.13454302518926,2.6999130231252897,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_47.940.fits,
missing_both,38,084404.20+413803.8_587285_0.0001,587285,896-52592-137,896,52592,137,896-52592-137,896-52592-137,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,131.01749999999998,41.63439999999999,084404.20+413803.8,SDSS J084404.19+413803.8,131.017502,41.634394,896,52592,52262,137,1.7402000427246094,1.7402000427246094,1.7454000000000003,0.0001,149.8393627464939,2.1934192023189865,none,0,0,0,0,15.648647685525502,,,
missing_both,39,161815.53+370103.8_433407_0.001,433407,1056-52764-623,1056,52764,623,1056-52764-623,1056-52764-623,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,244.56472999999997,37.01774999999999,161815.53+370103.8,2MASSi J1618155+370103,244.564733,37.017747,1056,52764,52402,623,2.505500078201294,2.505500078201294,2.4964000000000004,0.001,149.64876683424174,1.9548413738815056,none,0,0,0,0,20.754178649385295,,,
