dr7q_plate,dr7q_mjd,dr7q_fiber
299,51671,267
299,51671,525
299,51671,580
300,51943,28
300,51943,85
300,51943,136
300,51943,152
300,51943,174
300,51943,200
300,51943,261
300,51943,418
301,51942,121
301,51942,267
301,51942,369
301,51942,396
301,51942,502
301,51942,545
301,51942,575
302,51688,29
302,51688,278
302,51688,314
302,51688,385
302,51688,537
303,51615,414
304,51957,124
304,51957,171
304,51957,403
304,51957,440
304,51957,462
305,51613,122
305,51613,211
305,51613,475
305,51613,479
305,51613,550
306,51637,129
307,51663,11
307,51663,156
307,51663,258
307,51663,511
308,51662,73
308,51662,282
308,51662,340
308,51662,523
308,51662,595
309,51994,28
309,51994,360
309,51994,509
309,51994,516
310,51990,432
310,51990,531
311,51665,9
311,51665,131
311,51665,571
312,51689,415
312,51689,434
312,51689,525
313,51673,5
313,51673,66
313,51673,213
313,51673,608
315,51663,19
315,51663,34
315,51663,226
315,51663,483
342,51691,40
342,51691,400
343,51692,145
343,51692,195
343,51692,250
343,51692,302
343,51692,352
344,51693,158
344,51693,159
344,51693,289
344,51693,372
344,51693,628
345,51690,56
345,51690,358
345,51690,372
345,51690,449
345,51690,571
346,51693,6
346,51693,293
346,51693,294
346,51693,563
351,51780,2
351,51780,83
351,51780,289
351,51780,578
353,51703,262
353,51703,306
354,51792,142
354,51792,393
354,51792,409
354,51792,556
354,51792,612
355,51788,408
355,51788,567
355,51788,623
358,51818,35
358,51818,54
358,51818,69
358,51818,335
358,51818,529
358,51818,534
358,51818,605
359,51821,42
359,51821,207
359,51821,238
359,51821,302
359,51821,441
359,51821,528
360,51816,103
360,51816,118
360,51816,623
363,51989,99
363,51989,253
363,51989,349
363,51989,527
364,52000,278
364,52000,444
364,52000,527
366,52017,156
366,52017,237
366,52017,334
366,52017,400
366,52017,422
366,52017,501
367,51997,120
367,51997,188
367,51997,211
367,51997,248
367,51997,403
367,51997,489
404,51812,404
405,51816,16
405,51816,174
405,51816,175
405,51816,397
405,51816,429
405,51816,458
405,51816,557
405,51816,570
406,51869,71
406,51869,274
406,51869,374
406,51869,487
407,51820,89
407,51820,103
407,51820,139
407,51820,236
407,51820,280
407,51820,484
407,51820,501
407,51820,579
407,51820,587
408,51821,520
408,51821,552
408,51821,562
409,51871,201
409,51871,345
409,51871,356
409,51871,386
409,51871,501
409,51871,613
410,51816,100
410,51816,352
410,51816,472
410,51816,523
410,51816,539
411,51817,232
411,51817,316
411,51817,321
411,51817,521
411,51817,621
412,52258,145
412,52258,480
412,52258,523
412,52258,614
412,52258,621
413,51929,58
413,51929,101
413,51929,225
413,51929,388
413,51929,395
413,51929,516
413,51929,596
414,51901,11
414,51901,133
414,51901,177
414,51901,341
414,51901,386
414,51901,439
414,51901,552
415,51810,191
415,51810,325
415,51810,429
415,51810,576
415,51810,621
416,51811,169
416,51811,316
416,51811,331
416,51811,586
427,51900,11
427,51900,354
427,51900,589
428,51883,30
428,51883,135
428,51883,140
428,51883,143
428,51883,381
429,51820,606
430,51877,89
430,51877,176
431,51877,186
431,51877,187
431,51877,479
431,51877,564
432,51884,173
432,51884,295
432,51884,382
432,51884,527
432,51884,546
433,51873,69
433,51873,156
433,51873,166
433,51873,393
433,51873,407
433,51873,512
433,51873,612
434,51885,117
434,51885,422
434,51885,497
434,51885,543
434,51885,555
434,51885,560
434,51885,585
435,51882,108
435,51882,178
435,51882,184
435,51882,235
435,51882,300
435,51882,319
435,51882,327
435,51882,529
435,51882,544
436,51883,282
436,51883,540
436,51883,545
437,51869,32
437,51869,35
437,51869,73
437,51869,270
437,51869,275
437,51869,279
437,51869,294
437,51869,295
437,51869,338
437,51869,637
437,51869,638
438,51884,180
438,51884,243
439,51877,10
439,51877,19
439,51877,48
439,51877,180
439,51877,185
439,51877,219
439,51877,433
440,51885,202
440,51885,405
440,51885,516
440,51885,600
441,51868,320
441,51868,393
441,51868,508
441,51868,523
442,51882,50
442,51882,527
442,51882,543
442,51882,614
443,51873,53
443,51873,442
443,51873,634
444,51883,17
444,51883,178
444,51883,188
444,51883,245
444,51883,274
444,51883,289
444,51883,422
444,51883,423
444,51883,465
444,51883,496
444,51883,627
445,51873,23
445,51873,151
445,51873,306
445,51873,481
445,51873,632
446,51899,58
446,51899,161
446,51899,276
447,51877,99
447,51877,144
447,51877,272
447,51877,365
447,51877,542
448,51900,75
448,51900,84
448,51900,172
448,51900,508
449,51900,63
449,51900,400
449,51900,411
450,51908,133
450,51908,157
451,51908,98
451,51908,179
451,51908,254
451,51908,429
451,51908,449
451,51908,554
451,51908,604
451,51908,616
452,51911,45
452,51911,61
452,51911,277
452,51911,315
452,51911,357
452,51911,396
452,51911,624
453,51915,27
453,51915,44
453,51915,480
454,51908,17
454,51908,22
454,51908,372
455,51909,114
455,51909,264
455,51909,362
455,51909,366
455,51909,392
455,51909,413
455,51909,463
455,51909,505
455,51909,562
456,51910,15
456,51910,68
456,51910,133
456,51910,140
456,51910,378
456,51910,571
457,51901,164
457,51901,305
457,51901,502
457,51901,537
457,51901,547
457,51901,554
457,51901,585
458,51929,114
458,51929,212
458,51929,264
458,51929,270
458,51929,284
458,51929,368
458,51929,450
458,51929,458
458,51929,470
458,51929,498
459,51924,8
459,51924,129
459,51924,420
459,51924,424
460,51924,262
460,51924,285
460,51924,289
460,51924,425
460,51924,516
460,51924,588
461,51910,173
461,51910,496
462,51909,175
462,51909,223
462,51909,445
462,51909,540
462,51909,631
463,51908,107
463,51908,165
463,51908,215
463,51908,251
463,51908,338
463,51908,495
463,51908,551
464,51908,215
464,51908,335
464,51908,396
464,51908,499
464,51908,541
464,51908,562
465,51910,297
465,51910,308
465,51910,383
465,51910,437
465,51910,453
483,51924,127
483,51924,140
483,51924,178
483,51924,352
483,51924,367
483,51924,373
483,51924,468
484,51907,4
484,51907,134
484,51907,228
484,51907,356
484,51907,456
484,51907,598
485,51909,64
485,51909,67
485,51909,175
485,51909,193
485,51909,217
485,51909,452
485,51909,458
485,51909,474
485,51909,495
486,51910,25
486,51910,50
486,51910,128
486,51910,469
486,51910,627
487,51943,60
487,51943,110
487,51943,133
487,51943,226
487,51943,344
487,51943,495
487,51943,496
487,51943,521
488,51914,85
488,51914,86
488,51914,627
489,51930,187
489,51930,202
489,51930,246
489,51930,266
489,51930,333
489,51930,616
490,51929,179
490,51929,479
491,51942,302
491,51942,363
530,52026,35
530,52026,313
531,52028,77
531,52028,139
531,52028,207
531,52028,433
531,52028,532
532,51993,66
532,51993,301
532,51993,382
532,51993,523
533,51994,366
533,51994,491
534,51997,264
534,51997,490
534,51997,501
534,51997,569
535,51999,226
535,51999,247
535,51999,327
535,51999,515
536,52024,28
536,52024,38
536,52024,72
536,52024,73
536,52024,217
536,52024,308
536,52024,356
537,52027,121
537,52027,140
537,52027,165
537,52027,288
537,52027,499
537,52027,542
537,52027,571
537,52027,583
538,52029,328
538,52029,364
538,52029,483
538,52029,569
539,52017,171
539,52017,304
539,52017,400
539,52017,442
539,52017,525
539,52017,552
539,52017,629
540,51996,144
540,51996,172
540,51996,251
540,51996,285
540,51996,341
540,51996,353
541,51959,71
541,51959,516
542,51993,24
542,51993,239
542,51993,300
542,51993,321
542,51993,387
542,51993,402
542,51993,539
542,51993,560
542,51993,631
543,52017,218
543,52017,267
543,52017,367
543,52017,614
544,52201,145
544,52201,518
545,52202,27
545,52202,90
545,52202,343
545,52202,409
545,52202,439
545,52202,471
545,52202,529
546,52205,123
546,52205,213
546,52205,475
546,52205,575
547,52207,56
547,52207,94
548,51986,44
548,51986,179
549,51981,104
550,51959,142
550,51959,189
550,51959,353
550,51959,405
550,51959,407
550,51959,477
550,51959,580
550,51959,607
551,51993,437
551,51993,489
552,51992,164
552,51992,309
552,51992,475
552,51992,573
552,51992,582
553,51999,21
553,51999,101
553,51999,228
553,51999,276
553,51999,474
553,51999,487
553,51999,517
554,52000,130
554,52000,303
554,52000,468
555,52266,628
556,51991,4
556,51991,160
557,52253,182
557,52253,249
557,52253,547
557,52253,625
558,52317,32
558,52317,552
558,52317,563
559,52316,95
559,52316,136
559,52316,226
559,52316,395
559,52316,472
559,52316,564
559,52316,582
560,52296,290
560,52296,437
564,52224,344
564,52224,471
582,52045,128
583,52055,162
583,52055,168
583,52055,266
583,52055,286
583,52055,349
583,52055,497
583,52055,512
583,52055,621
584,52049,69
584,52049,195
584,52049,279
584,52049,373
584,52049,390
585,52027,124
585,52027,258
585,52027,264
585,52027,288
585,52027,377
586,52023,89
586,52023,229
586,52023,507
586,52023,577
587,52026,106
587,52026,271
588,52045,120
588,52045,354
588,52045,597
589,52055,129
589,52055,145
589,52055,158
589,52055,205
589,52055,227
589,52055,300
589,52055,382
589,52055,399
589,52055,429
589,52055,458
590,52057,18
590,52057,399
591,52022,168
591,52022,265
592,52025,135
592,52025,443
592,52025,518
593,52026,26
593,52026,60
593,52026,170
593,52026,374
593,52026,554
593,52026,561
593,52026,630
594,52045,107
594,52045,288
594,52045,306
594,52045,529
594,52045,600
594,52045,613
594,52045,614
595,52023,63
595,52023,479
618,52049,70
618,52049,186
618,52049,470
618,52049,536
619,52056,305
620,52375,164
620,52375,384
620,52375,451
620,52375,578
620,52375,604
621,52055,39
621,52055,441
621,52055,534
621,52055,537
622,52054,5
622,52054,72
622,52054,90
622,52054,109
622,52054,129
622,52054,169
622,52054,231
622,52054,236
622,52054,310
622,52054,331
622,52054,417
622,52054,590
623,52051,310
