status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
matched,0,092313.69+372656.7_401570_0.003,401570,1214-52731-305,1214,52731,305,1214-52731-305,1214-52731-305,False,exact_plate_mjd_fiber,,nan,140.80706999999998,37.44909,092313.69+372656.7,SDSS J092313.69+372656.7,140.80707,37.449085,1214,52731,52621,305,0.361299991607666,0.361299991607666,0.36630000000000007,0.003,150.0625274605643,1.9018059568582752,coordinate_fallback,0,0,1,1,0.05337074830671575,812289,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_12.173.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1214-52731-0305.fits
missing_galaxy,1,090325.66+300525.0_654145_1,654145,1590-52974-51,1590,52974,51,1590-52974-51,1590-52974-51,False,exact_plate_mjd_fiber,,nan,135.85692999999998,30.090299999999996,090325.66+300525.0,SDSS J090325.66+300525.0,135.856938,30.090295,1590,52974,53052,51,0.5378000140190125,0.5378000140190125,0.5376000000000001,1.0,150.35268980068773,2.291502941812638,none,0,0,0,0,10.346862277543563,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1590-52974-0051.fits
matched,2,164957.16+285854.4_923464_1,923464,1342-52793-7,1342,52793,7,1342-52793-7,1342-52793-7,False,exact_plate_mjd_fiber,,nan,252.48816999999997,28.981779999999997,164957.16+285854.4,SDSS J164957.16+285854.3,252.488182,28.981784,1342,52793,52402,7,0.6859999895095825,0.6859999895095825,0.6811,1.0,150.01501868020165,2.701338277058711,coordinate_fallback,0,0,1,1,0.071243175436243,846481,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_55_22.460.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1342-52793-0007.fits
missing_dr7q,3,151338.71+413904.9_929394_0.3,929394,1291-52735-29,1291,52735,29,1291-52735-29,1291-52735-29,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,228.41131999999996,41.651379999999996,151338.71+413904.9,SDSS J151338.70+413904.9,228.411316,41.651383,1291,52735,52313,29,0.7767999768257141,0.7767999768257141,0.7765000000000001,0.3,150.1406330654331,2.710893860818697,coordinate_fallback,0,0,1,1,0.02976665419478223,845769,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_48.103.fits,
matched,4,085353.71+142920.2_644415_0.0003,644415,2433-53820-356,2433,53820,356,2433-53820-356,2433-53820-356,False,exact_plate_mjd_fiber,,nan,133.47383,14.488959999999999,085353.71+142920.2,,133.473826,14.48896,2433,53820,53441,356,0.478300005197525,0.478300005197525,0.48340000000000005,0.0003,149.78779119545896,2.2764507047781994,coordinate_fallback,0,0,1,1,0.09436051372489668,826441,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_21.050.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2433-53820-0356.fits
matched,5,075217.31+271726.4_648095_0.01,648095,858-52316-503,858,52316,503,858-52316-503,858-52316-503,False,exact_plate_mjd_fiber,,nan,118.07213999999999,27.290689999999998,075217.31+271726.4,SDSS J075217.30+271726.5,118.072137,27.290686,858,52316,52263,503,0.6676999926567078,0.6676999926567078,0.6638000000000001,0.01,150.1353652832364,2.2829975352269614,coordinate_fallback,0,0,1,1,0.027911097889112592,824690,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_45_10.050.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-858-52316-0503.fits
missing_dr7q,6,021440.82+125802.8_368548_0.0003,368548,428-51883-30,428,51883,30,428-51883-30,428-51883-30,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,33.670109999999994,12.967469999999999,021440.82+125802.8,SDSS J021440.82+125802.8,33.670109,12.96747,428,51883,51464,30,0.5554999709129333,0.5554999709129333,0.5653,0.0003,150.13580801496926,1.850103455528394,coordinate_fallback,0,0,1,1,0.021916987784511097,811936,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_47.313.fits,
missing_both,7,073958.12+324223.0_369279_0.001,369279,541-51959-516,541,51959,516,541-51959-516,541-51959-516,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,114.99219999999998,32.706399999999995,073958.12+324223.0,SDSS J073958.12+324223.0,114.992196,32.706402,541,51959,51874,516,0.5600000023841858,0.5600000023841858,0.5635000000000001,0.001,150.0755506146407,1.8531062067171646,none,0,0,0,0,21.06493526870823,,,
matched,8,151044.77+194048.7_359582_0.0003,359582,2792-54556-625,2792,54556,625,2792-54556-625,2792-54556-625,False,exact_plate_mjd_fiber,,nan,227.68654999999998,19.680199999999996,151044.77+194048.7,,227.686552,19.6802,2792,54556,53170,625,0.6651999950408936,0.6651999950408936,0.6632000000000001,0.0003,149.7417948824193,1.8356041256465803,coordinate_fallback,0,0,1,1,0.01592815404296967,813610,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_43.317.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2792-54556-0625.fits
missing_both,9,074718.26+321933.1_363912_1,363912,755-52235-522,755,52235,522,755-52235-522,755-52235-522,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,116.82609999999998,32.325889999999994,074718.26+321933.1,SDSS J074718.26+321933.1,116.826107,32.325888,755,52235,51961,522,0.34689998626708984,0.34689998626708984,0.3527,1.0,150.37608732473385,1.842585416311115,none,0,0,0,0,5.669416130894131,,,
